linha_base,direcao_base,total_pontos_linha_base,linha_compartilhada,direcao_compartilhada,num_pontos_compartilhados,percentual_cobertura,pontos_compartilhados
805,Ida,31,SPB550,Ida,1,3.23,Barra Private
805,Ida,31,SV692,Volta,1,3.23,Alfabarra II
805,Ida,31,SV692,Ida,1,3.23,Alfabarra II
805,Ida,31,343,Volta,2,6.45,"Barra Private, Terminal Nuta James"
805,Ida,31,343,Ida,2,6.45,"Gilberto Amado, Terminal Nuta James"
805,Ida,31,SN302,Ida,1,3.23,Barra Private
805,Ida,31,SN302,Volta,23,74.19,"Alfabarra II, Clube Riviera, Embaixador Egberto Mafra, Eugênio Lyra Neto, General Ivan Raposo, Hercílio Gonçalves, Jornalista Pierre Plancher, Marcelo Roberto, Padre Alfredo Gonzales, Peregrino Junior, Praça do Ó, Praia da Barra - Posto 2, Praia da Barra - Posto 3, Praia da Barra - Posto 4, Praia da Barra - Posto 5, Praia da Barra - Posto 6, Praia da Barra - Posto 6, Praia da Barra - Posto 7, Praia da Barra - Posto 8, Praia da Barra - Posto 8, Prudência do Amaral, Rodolfo de Campos, São Regulo"
805,Ida,31,550,Ida,1,3.23,Barra Private
805,Ida,31,555,Ida,1,3.23,Barra Private
805,Ida,31,565,Volta,2,6.45,"Barra Private, Passarela da Barra"
805,Ida,31,SN309,Volta,2,6.45,"Barra Private, Passarela da Barra"
805,Ida,31,SN309,Ida,26,83.87,"Alfabarra II, Clube Riviera, Comandante Júlio de Moura, Embaixador Egberto Mafra, Eugênio Lyra Neto, General Ivan Raposo, Gilberto Amado, Hercílio Gonçalves, Jornalista Pierre Plancher, Marcelo Roberto, Padre Alfredo Gonzales, Peregrino Junior, Praça do Ó, Praça Euvaldo Lodi, Praia da Barra - Posto 2, Praia da Barra - Posto 3, Praia da Barra - Posto 4, Praia da Barra - Posto 5, Praia da Barra - Posto 6, Praia da Barra - Posto 6, Praia da Barra - Posto 7, Praia da Barra - Posto 8, Praia da Barra - Posto 8, Prudência do Amaral, Rodolfo de Campos, São Regulo"
